CUSTOMER_ID,GENDER,EMAIL_ADDRESS,POSTAL_CODE,RECENCY_BEFORE_FEB-01-2011,FREQUENCY_BEFORE_FEB-01-2011,MONETARY_VALUE_BEFORE_FEB-01-2011,HAS_RECEIVED_TEST_MAILING_FEB-01-2011,RESPONSE_TO_TEST_MAILING_FEB-01-2011,ORDER_DATE,NUMBER_OF_DAYS_BETWEEN_TEST_MAILING_AND_ORDER_DATE,ORDERED_WITHIN_MONTH
723,male,name7502@tnet.fr,1818BO,medium,high,medium,yes,F,,,nap
724,female,name25485@wwmail.org,1132DG,low,high,low,yes,F,,,nap
725,male,name15543@wwmail.de,1803YT,low,low,high,yes,F,,,nap
726,male,name28335@zigzag.be,1205WR,high,low,high,yes,F,,,nap
727,female,name5354@tnet.jp,1711ON,low,high,low,yes,F,,,nap
728,female,name20637@wwmail.es,1055FG,low,high,medium,yes,T,04/02/11,3,yes
729,female,name20636@wwmail.es,1254MR,low,high,low,yes,F,,,nap
730,female,name10414@tnet.inc,1723DG,low,high,medium,yes,F,,,nap
731,male,name23372@wwmail.inc,1713AQ,low,medium,high,yes,F,,,nap
732,male,name20635@wwmail.es,1264EC,high,medium,high,yes,T,15/02/11,14,yes
733,female,name5356@tnet.jp,1648BT,low,medium,high,yes,F,,,nap
734,female,name17582@wwmail.de,1285XV,high,low,high,yes,F,,,nap
735,female,name6388@tnet.fr,1282NB,medium,medium,low,yes,F,,,nap
736,male,name10409@tnet.inc,1799IT,low,medium,high,yes,F,,,nap
737,female,name13849@tnet.uk,1802UO,low,high,medium,yes,F,,,nap
738,male,name25473@wwmail.org,1971NK,low,high,low,yes,F,,,nap
739,male,name13848@tnet.uk,1361RL,low,high,medium,yes,F,,,nap
740,female,name23366@wwmail.inc,1164VN,low,medium,high,yes,F,,,nap
741,female,name3188@molbe.cat,1767YN,low,low,high,yes,F,,,nap
742,male,name1606@lomejor.es,1681HP,low,high,low,yes,F,,,nap
743,female,name29056@zigzag.cat,1287PI,low,medium,high,yes,F,,,nap
744,male,name28323@zigzag.be,1023AR,low,high,medium,yes,T,28/02/11,27,yes
745,female,name20630@wwmail.es,1737ZI,low,medium,high,yes,F,,,nap
746,male,name13847@tnet.uk,1625TZ,low,high,low,yes,F,,,nap
747,male,name10401@tnet.inc,1684YE,medium,high,low,yes,F,,,nap
748,female,name13846@tnet.uk,1508DU,low,medium,medium,yes,F,,,nap
749,female,name17579@wwmail.de,1143VC,medium,high,low,yes,F,,,nap
750,female,name26894@wwmail.uk,1228IK,medium,low,high,yes,F,,,nap
751,female,name6366@tnet.fr,1567CX,high,medium,high,yes,T,17/02/11,16,yes
752,male,name1609@lomejor.es,1315FI,low,medium,high,yes,F,,,nap
753,female,name29727@zigzag.com,1753OI,low,high,low,yes,F,,,nap
754,female,name29856@zigzag.es,1229DC,high,high,low,yes,F,,,nap
755,female,name17578@wwmail.de,1036LJ,low,high,medium,yes,T,27/02/11,26,yes
756,female,name29046@zigzag.cat,1002VW,low,medium,high,yes,T,22/02/11,21,yes
757,female,name10389@tnet.inc,1979KZ,low,high,high,yes,F,,,nap
758,male,name6354@tnet.fr,1784IE,high,low,high,yes,F,,,nap
759,male,name3172@molbe.cat,1183FC,low,medium,high,yes,F,,,nap
760,male,name43@hmail.de,1492WX,low,high,low,yes,F,,,nap
761,female,name5357@tnet.jp,1569VY,low,medium,high,yes,F,,,nap
762,male,name255@hmail.inc,1558OG,low,high,low,yes,F,,,nap
763,male,name25457@wwmail.org,1588SB,high,high,high,yes,T,26/02/11,25,yes
764,female,name1616@lomejor.es,1972BQ,low,high,medium,yes,F,,,nap
765,male,name5359@tnet.jp,1109VD,low,medium,medium,yes,F,,,nap
766,female,name17576@wwmail.de,1034PE,low,medium,high,yes,F,,,nap
