CUSTOMER_ID,GENDER,AGE,CREDITLIMIT,ZODIAC,E-MAIL ADDRESS,ZIP
723,"F",20,9026,1,"name7502@tnet.fr","1818BO"
724,"M",28,5223,3,"name25485@wwmail.org","1132DG"
725,"F",0,668,8,"name15543@wwmail.de","1803YT"
726,"M",18,8302,6,"name28335@zigzag.be","1205WR"
727,"F",,997,8,"name5354@tnet.jp","1711ON"
728,"",,,,"",""
729,"F",28,6898,5,"name20636@wwmail.es","1254MR"
730,"F",26,6488,11,"name10414@tnet.inc","1723DG"
730,"F",28,6488,11,"name10414@tnet.inc","1723DG"
731,"F",17,5006,2,"name23372@wwmail.inc","1713AQ"
732,"F",22,929,5,"name20635@wwmail.es","1264EC"
733,"F",26,3303,8,"name5356@tnet.jp","1648BT"
734,"F",28,8934,3,"name17582@wwmail.de","1285XV"
735,"F",27,9808,7,"name6388@tnet.fr","1282NB"
736,"M",31,4723,6,"name10409@tnet.inc","1799IT"
737,"M",28,672,7,"name13849@tnet.uk","1802UO"
738,"",,,,"",""
739,"M",17,5984,5,"name13848@tnet.uk","1361RL"
740,"F",24,2621,9,"name23366@wwmail.inc","1164VN"
741,"M",34,6062,6,"name3188@molbe.cat","1767YN"
742,"M",27,9797,4,"name1606@lomejor.es","1681HP"
743,"F",23,2687,6,"name29056@zigzag.cat","1287PI"
744,"M",27,128,9,"name28323@zigzag.be","1023AR"
745,"F",28,182,11,"name20630@wwmail.es","1737ZI"
746,"M",26,2301,9,"name13847@tnet.uk","1625TZ"
747,"F",19,2704,8,"name10401@tnet.inc","1684YE"
748,"M",26,4033,7,"name13846@tnet.uk","1508DU"
749,"",,,,"",""
750,"F",30,9044,6,"name26894@wwmail.uk","1228IK"
751,"F",19,1975,12,"name6366@tnet.fr","1567CX"
752,"F",23,3619,9,"name1609@lomejor.es","1315FI"
753,"M",21,3517,8,"name29727@zigzag.com","1753OI"
754,"M",19,701,8,"name29856@zigzag.es","1229DC"
755,"M",22,1878,3,"name17578@wwmail.de","1036LJ"
756,"M",17,4023,10,"name29046@zigzag.cat","1002VW"
757,"M",25,4946,10,"name10389@tnet.inc","1979KZ"
758,"F",30,9946,8,"name6354@tnet.fr","1784IE"
759,"F",35,1522,6,"name3172@molbe.cat","1183FC"
760,"F",23,7458,2,"name43@hmail.de","1492WX"
761,"F",25,1340,10,"name5357@tnet.jp","1569VY"
761,"F",29,1340,10,"name5357@tnet.jp","1569VY"
761,"F",33,1340,10,"name5357@tnet.jp","1569VY"
762,"F",25,7136,3,"name255@hmail.inc","1558OG"
763,"F",37,1723,4,"name25457@wwmail.org","1588SB"
764,"F",29,3799,7,"name1616@lomejor.es","1972BQ"
765,"",,,,"",""
766,"F",19,6432,2,"name17576@wwmail.de","1034PE"
767,"F",30,1143,2,"name13845@tnet.uk","1221JA"
768,"M",23,1799,10,"name25454@wwmail.org","1794JI"
769,"M",24,9211,4,"name815@hmail.uk","1127WB"
770,"F",20,2558,8,"name29034@zigzag.cat","1606VF"
771,"F",30,9191,5,"name10378@tnet.inc","1940TF"
772,"M",19,2455,5,"name1619@lomejor.es","1572DZ"
773,"F",17,39,12,"name20623@wwmail.es","1587UJ"
774,"F",25,2012,4,"name5361tnet.jp","1686RR"
775,"F",29,2158,3,"name3155@molbe.cat","1595IP"
776,"F",30,1914,4,"name3147@molbe.cat","1487WF"
777,"M",19,8035,11,"name17575@wwmail.de","1196XI"
778,"F",28,271,7,"name17574@wwmail.de","1197HI"
779,"F",27,7200,3,"name6321@tnet.fr","1120QK"
780,"F",19,8673,2,"name10372@tnet.inc","1180UC"
781,"F",25,7203,2,"name17572@wwmail.de","1495DX"
782,"F",27,8089,9,"name17571@wwmail.de","1876EE"
783,"F",27,7392,7,"name10356@tnet.inc","1642TR"
784,"F",24,961,11,"name3125@molbe.cat","1060AF"
785,"M",18,3611,6,"name25442@wwmail.org","1569SO"
786,"M",27,4236,4,"name1625@lomejor.es","1776YQ"
787,"M",25,8480,5,"name17569@wwmail.de","1575QV"
788,"F",25,4557,6,"name20614@wwmail.es","1797LD"
789,"F",26,4909,11,"name25438@wwmail.org","1939UM"
790,"F",29,5644,11,"name6302@tnet.fr","1363IO"
791,"F",32,1172,10,"name26833@wwmail.uk","1324VH"
792,"F",27,6150,2,"name25436@wwmail.org","1429VH"
793,"M",23,4315,12,"name842@hmail.uk","1068DK"
794,"F",999,764,11,"name10354@tnet.inc","1216AM"
795,"F",26,6190,6,"name25434@wwmail.org","1581YK"
796,"F",28,9025,2,"name23335@wwmail.inc","1054AV"
797,"F",21,6746,9,"name17567@wwmail.de","1251PW"
798,"F",28,6319,6,"name25431@wwmail.org","1129YR"
799,"F",16,1026,3,"name10353@tnet.inc","1828KX"
800,"F",22,880,8,"name1632@lomejor.es","1135ZL"
801,"F",27,1724,10,"name23332@wwmail.inc","1731VP"
802,"F",28,4055,6,"name20610@wwmail.es","1412LN"
803,"F",30,4994,5,"name13842@tnet.uk","1037JO"
804,"F",27,8887,2,"name13841@tnet.uk","1201WY"
805,"M",25,2276,5,"name17566@wwmail.de","1385CM"
806,"F",25,1337,4,"name17565@wwmail.de","1985RW"
807,"M",23,8754,1,"name10349@tnet.inc","1168GZ"
808,"F",27,8136,11,"name28280@zigzag.be","1542KT"
809,"M",19,3381,11,"name1634@lomejor.es","1630LA"
810,"F",22,5126,1,"name5363@tnet.jp","1087OY"
811,"F",31,3829,9,"name3103@molbe.cat","1668ZL"
812,"F",30,3302,7,"name13840@tnet.uk","1516AG"
813,"M",28,5330,3,"name6289@tnet.fr","1523JK"
814,"F",35,9810,2,"name1640@lomejor.es","1166YQ"
815,"F",32,4893,3,"name13839@tnet.uk","1978UD"
816,"F",29,6021,9,"name25418@wwmail.org","1843TY"
817,"F",23,6638,8,"name13838@tnet.uk","1458UB"
818,"M",22,1184,8,"name23323@wwmail.inc","1786LK"
819,"M",27,4830,4,"name26798@wwmail.uk","1624SM"
820,"F",25,9319,6,"name20603@wwmail.es","1305IA"
821,"M",35,5708,7,"name6271@tnet.fr","1272SX"
822,"F",26,5970,4,"name23321@wwmail.inc","1728NA"
823,"F",20,1483,9,"name28270@zigzag.be","1124NK"
824,"M",20,7759,2,"name23320@wwmail.inc","1651BA"
825,"F",18,9280,8,"name1642@lomejor.es","1335KD"
826,"F",31,717,9,"name23319@wwmail.inc","1084QS"
827,"M",30,4406,4,"name13837@tnet.uk","1881FV"
828,"M",29,6337,5,"name25411@wwmail.org","1293TZ"
829,"F",29,7483,12,"name17560@wwmail.de","1660DA"
830,"M",32,9170,4,"name3083@molbe.cat","1557II"
831,"F",29,3762,1,"name6265@tnet.fr","1290UI"
832,"F",19,1695,11,"name20600@wwmail.es","1408CY"
833,"M",22,3361,5,"name23315@wwmail.inc","1401AH"
834,"M",27,8406,4,"name135@hmail.fr","1573LT"
835,"F",31,467,8,"name26780@wwmail.uk","1437ZR"
836,"F",26,1644,4,"name25405@wwmail.org","1634QT"
837,"M",25,7926,8,"name5364@tnet.jp","1947LZ"
838,"F",36,5578,10,"name28979@zigzag.cat","1763UQ"
839,"M",26,6780,6,"name26778@wwmail.uk","1192XA"
840,"M",23,8523,6,"name20598@wwmail.es","1378FR"
841,"M",26,9676,2,"name13835@tnet.uk","1628GW"
842,"F",21,5745,9,"name13834@tnet.uk","1679HZ"
843,"F",31,1359,10,"name13833@tnet.uk","1716TF"
844,"M",27,2112,1,"name23311@wwmail.inc","1906TN"
845,"F",23,1349,11,"name13832@tnet.uk","1412DB"
846,"F",28,320,10,"name23309@wwmail.inc","1480GW"
847,"F",27,6016,12,"name10326@tnet.inc","1763KO"
848,"F",30,4061,3,"name5366@tnet.jp","1253HC"
849,"F",31,7750,3,"name6250@tnet.fr","1009TV"
850,"M",18,4889,10,"name23307wwmail.inc","1047IN"
851,"F",28,5234,10,"name5367@tnet.jp","1172FH"
852,"F",24,5270,4,"name904@hmail.uk","1712JX"
853,"F",31,2497,7,"name3056@molbe.cat","1562NK"
854,"M",25,7038,5,"name29408@zigzag.jp","1867RG"
855,"F",29,1223,4,"name17558@wwmail.de","1969XX"
856,"F",31,2013,10,"name1647@lomejor.es","1546EC"
857,"F",20,8617,4,"name26773@wwmail.uk","1959QN"
858,"M",28,339,6,"name1648@lomejor.es","1548KU"
859,"F",29,3442,2,"name5369@tnet.jp","1674JG"
860,"M",20,8229,10,"name13831@tnet.uk","1679TC"
861,"M",20,8689,2,"name23299@wwmail.inc","1926SZ"
862,"M",24,8331,10,"name20591@wwmail.es","1108FB"
863,"F",23,887,11,"name10314@tnet.inc","1595YW"
864,"M",22,1202,1,"name23296@wwmail.inc","1601RW"
865,"M",28,2044,4,"name20590@wwmail.es","1526BT"
866,"M",18,6185,5,"name5370@tnet.jp","1679XL"
867,"F",23,1609,7,"name28960@zigzag.cat","1727LO"
868,"F",28,3222,2,"name13830@tnet.uk","1063ZY"
869,"F",21,4909,4,"name1651@lomejor.es","1662VE"
870,"F",21,3616,9,"name13829@tnet.uk","1411SV"
871,"F",26,5002,11,"name13828@tnet.uk","1655TG"
872,"F",32,7268,6,"name17557@wwmail.de","1381CX"
873,"M",25,6535,12,"name1652@lomejor.es","1777JW"
874,"F",15,2706,4,"name5371@tnet.jp","1363YP"
875,"F",24,1326,6,"name5372@tnet.jp","1053DG"
876,"F",27,367,11,"name13827@tnet.uk","1936FW"
