ZIP,PCT_WORKING,PCT_HOUSE_OWNERS,PCT_WITH_CAR,CUSTOMER_ID,mailing_Standard tennisracket,mailing_XL original orange baseball cap,mailing_XS original red soccer shirt,GENDER,CREDITLIMIT,ZODIAC,E-MAIL ADDRESS,ORDERDATE_Max,PRICE_Sum_Sum,NUMBER OF PURCHASES
"1001FA",76,60,88,6952.000,,,,"F",6747.000,4.000,"name21329wwmail.inc",2009-08-20,1318.584,3
"1001FA",76,60,88,26952.000,,,,"F",6747.000,5.000,"name21012@wwmail.inc",2008-04-20,2811.882,6
"1001GB",70,48,88,2811.000,"F","T","F","M",706.000,6.000,"name13572@tnet.uk",2004-08-02,2138.859,2
"1001GB",70,48,88,8110.000,,,,"M",706.000,10.000,"name12835@tnet.uk",2010-12-06,1472.307,6
"1001GB",70,48,88,13110.000,,,,"M",706.000,3.000,"name9056@tnet.inc",2008-01-29,795.883,2
"1001PJ",76,59,90,10259.000,"T","F","F","F",2631.000,7.000,"name3803@molbe.cat",2005-07-11,117.166,1
"1001PR",86,69,91,18293.000,"F","T","F","M",8171.000,3.000,"name10516@tnet.inc",2008-04-07,539.568,2
"1001PR",86,69,91,13293.000,"F","T","F","M",8171.000,9.000,"name8830@tnet.inc",2010-07-15,1656.827,6
"1002AI",88,72,92,20560.000,,,,"M",2198.000,4.000,"name4641@tnet.jp",2009-03-18,337.742,1
"1002EH",76,59,92,21891.000,,,,"M",8927.000,11.000,"name8832@tnet.inc",2009-01-02,560.442,2
"1002EH",76,59,92,6891.000,,,,"M",8927.000,10.000,"name12993@tnet.uk",2008-05-18,43.413,1
"1002EH",76,59,92,16891.000,"T","F","F","M",8927.000,3.000,"name17381@wwmail.de",2010-10-25,2758.640,5
"1002GZ",79,67,91,23911.000,,,,"F",8464.000,10.000,"name24827@wwmail.org",2010-01-30,3693.772,6
"1002JX",80,64,92,8158.000,"T","T","T","F",2027.000,6.000,"name18198@wwmail.es",2006-11-21,1049.636,3
"1002JX",80,64,92,28158.000,"F","T","F","F",2027.000,3.000,"name5049@tnet.jp",2006-02-25,130.775,1
"1002JX",80,64,92,23158.000,"F","T","F","F",2027.000,3.000,"name17913@wwmail.es",2011-06-08,8497.062,3
"1002MP",83,67,91,12451.000,"T","F","F","F",7455.000,6.000,"name4985@tnet.jp",2009-12-26,363.882,3
"1002VW",83,70,92,5957.000,,,,"M",4023.000,1.000,"name24464@wwmail.org",2008-12-12,339.055,2
"1002WX",80,67,92,19512.000,"F","F","T","F",5913.000,9.000,"name19325@wwmail.es",2007-03-07,617.654,1
"1002WX",80,67,92,4514.000,"F","T","F","F",5913.000,1.000,"name1274@hmail.uk",2006-03-01,1100.822,1
"1002YB",73,57,93,3101.000,"F","T","T","M",136.000,10.000,"name19963@wwmail.es",1999-09-04,38.100,1
"1002YB",73,57,93,13302.000,,,,"M",136.000,2.000,"name2266@lomejor.es",2010-03-27,942.129,2
