ZIP	CUSTOMER_ID	GENDER	CREDITLIMIT	ZODIAC	E-MAIL ADDRESS	ORDERDATE	AMOUNT_SPENT	MAILING_ID_1.0	MAILING_ID_2.0	1.0_RESPONSE	2.0_RESPONSE	pct_working	pct_with_car	pct_house_owners
"1818BO"	723.000000	"F"	9026.000000	1.000000	"name7502@tnet.fr"	2009-07-02	546.731095	"T"	"T"	0.000000	0.000000	82	88	66
"1132DG"	724.000000	"M"	5223.000000	3.000000	"name25485@wwmail.org"	1999-07-11	306.480000	"F"	"T"		0.000000	82	86	67
"1803YT"	725.000000	"F"	668.000000	8.000000	"name15543@wwmail.de"	2007-02-27	1796.015619	"F"	"T"		0.000000	91	92	76
"1205WR"	726.000000	"M"	8302.000000	6.000000	"name28335@zigzag.be"	2010-06-14	2489.258743	"F"	"T"		0.000000	79	85	63
"1711ON"	727.000000	"F"	997.000000	8.000000	"name5354@tnet.jp"	1999-02-21	377.210000	"F"	"T"		0.000000	80	92	64
"1055FG"	728.000000	"M"	1955.000000	3.000000	"name20637@wwmail.es"	2004-05-22	624.015310	"T"	"T"	0.000000	1.000000	84	92	71
"1254MR"	729.000000	"F"	6898.000000	5.000000	"name20636@wwmail.es"	2006-07-13	34.724129	"F"	"T"		0.000000	73	91	57
"1723DG"	730.000000	"F"	6488.000000	11.000000	"name10414@tnet.inc"	2002-11-29	788.150000	"F"	"T"		0.000000	79	92	67
"1713AQ"	731.000000	"F"	5006.000000	2.000000	"name23372@wwmail.inc"	2003-07-17	2419.550000	"F"	"T"		0.000000	76	93	61
"1264EC"	732.000000	"F"	929.000000	5.000000	"name20635@wwmail.es"	2003-05-10	1158.180000	"F"	"T"		0.000000	80	86	64
"1648BT"	733.000000	"F"	3303.000000	8.000000	"name5356@tnet.jp"	2003-12-01	1247.970000	"T"	"T"	0.000000	0.000000	80	92	63
"1285XV"	734.000000	"F"	8934.000000	3.000000	"name17582@wwmail.de"	2010-07-28	1036.026168	"F"	"T"		0.000000	83	91	68
"1282NB"	735.000000	"F"	9808.000000	7.000000	"name6388@tnet.fr"	2009-05-26	457.036191	"F"	"T"		0.000000	77	92	63
"1799IT"	736.000000	"M"	4723.000000	6.000000	"name10409@tnet.inc"	2003-10-22	2119.110000	"F"	"T"		0.000000	72	92	55
